,,,enrich,enrich,enrich,enrich,enrich,enrich,enrich,enrich
,,,count,mean,std,min,25%,50%,75%,max
model,target,p,,,,,,,,
HDC-RF,ADRB2,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
HDC-RF,ALDH1,0.1,1.0,1.5844380635730035,,1.5844380635730035,1.5844380635730035,1.5844380635730035,1.5844380635730035,1.5844380635730035
HDC-RF,ESR1_ago,0.1,1.0,2.9978571428571428,,2.9978571428571428,2.9978571428571428,2.9978571428571428,2.9978571428571428,2.9978571428571428
HDC-RF,ESR1_ant,0.1,1.0,3.0842490842490844,,3.0842490842490844,3.0842490842490844,3.0842490842490844,3.0842490842490844,3.0842490842490844
HDC-RF,FEN1,0.1,1.0,2.4674745309490524,,2.4674745309490524,2.4674745309490524,2.4674745309490524,2.4674745309490524,2.4674745309490524
HDC-RF,GBA,0.1,1.0,1.880825392538868,,1.880825392538868,1.880825392538868,1.880825392538868,1.880825392538868,1.880825392538868
HDC-RF,IDH1,0.1,1.0,4.100090587715423,,4.100090587715423,4.100090587715423,4.100090587715423,4.100090587715423,4.100090587715423
HDC-RF,KAT2A,0.1,1.0,2.203980516395112,,2.203980516395112,2.203980516395112,2.203980516395112,2.203980516395112,2.203980516395112
HDC-RF,MAPK1,0.1,1.0,3.193790326573046,,3.193790326573046,3.193790326573046,3.193790326573046,3.193790326573046,3.193790326573046
HDC-RF,MTORC1,0.1,1.0,3.499153567110036,,3.499153567110036,3.499153567110036,3.499153567110036,3.499153567110036,3.499153567110036
HDC-RF,OPRK1,0.1,1.0,3.333333333333333,,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333
HDC-RF,PKM2,0.1,1.0,1.5181988173094263,,1.5181988173094263,1.5181988173094263,1.5181988173094263,1.5181988173094263,1.5181988173094263
HDC-RF,PPARG,0.1,1.0,7.142857142857143,,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143
HDC-RF,TP53,0.1,1.0,5.009433962264151,,5.009433962264151,5.009433962264151,5.009433962264151,5.009433962264151,5.009433962264151
HDC-RF,VDR,0.1,1.0,0.9547296930016405,,0.9547296930016405,0.9547296930016405,0.9547296930016405,0.9547296930016405,0.9547296930016405
Vina,ADRB2,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Vina,ALDH1,0.1,1.0,1.593674070674988,,1.593674070674988,1.593674070674988,1.593674070674988,1.593674070674988,1.593674070674988
Vina,ESR1_ago,0.1,1.0,2.4921052631578946,,2.4921052631578946,2.4921052631578946,2.4921052631578946,2.4921052631578946,2.4921052631578946
Vina,ESR1_ant,0.1,1.0,1.3127646702964308,,1.3127646702964308,1.3127646702964308,1.3127646702964308,1.3127646702964308,1.3127646702964308
Vina,FEN1,0.1,1.0,2.0790931235349683,,2.0790931235349683,2.0790931235349683,2.0790931235349683,2.0790931235349683,2.0790931235349683
Vina,GBA,0.1,1.0,2.825938566552901,,2.825938566552901,2.825938566552901,2.825938566552901,2.825938566552901,2.825938566552901
Vina,IDH1,0.1,1.0,1.9999127304461657,,1.9999127304461657,1.9999127304461657,1.9999127304461657,1.9999127304461657,1.9999127304461657
Vina,KAT2A,0.1,1.0,0.7843137254901961,,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961
Vina,MAPK1,0.1,1.0,2.375,,2.375,2.375,2.375,2.375,2.375
Vina,MTORC1,0.1,1.0,0.833031035872632,,0.833031035872632,0.833031035872632,0.833031035872632,0.833031035872632,0.833031035872632
Vina,OPRK1,0.1,1.0,1.9999407846039972,,1.9999407846039972,1.9999407846039972,1.9999407846039972,1.9999407846039972,1.9999407846039972
Vina,PKM2,0.1,1.0,1.824728906196464,,1.824728906196464,1.824728906196464,1.824728906196464,1.824728906196464,1.824728906196464
Vina,PPARG,0.1,1.0,1.110483364720653,,1.110483364720653,1.110483364720653,1.110483364720653,1.110483364720653,1.110483364720653
Vina,TP53,0.1,1.0,1.5933793103448275,,1.5933793103448275,1.5933793103448275,1.5933793103448275,1.5933793103448275,1.5933793103448275
Vina,VDR,0.1,1.0,1.0526315789473684,,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684
ecfp,ADRB2,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
ecfp,ALDH1,0.1,1.0,0.8536534808880841,,0.8536534808880841,0.8536534808880841,0.8536534808880841,0.8536534808880841,0.8536534808880841
ecfp,ESR1_ago,0.1,1.0,3.330952380952381,,3.330952380952381,3.330952380952381,3.330952380952381,3.330952380952381,3.330952380952381
ecfp,ESR1_ant,0.1,1.0,2.677468201090248,,2.677468201090248,2.677468201090248,2.677468201090248,2.677468201090248,2.677468201090248
ecfp,FEN1,0.1,1.0,1.7389935723537893,,1.7389935723537893,1.7389935723537893,1.7389935723537893,1.7389935723537893,1.7389935723537893
ecfp,GBA,0.1,1.0,1.4284749816750897,,1.4284749816750897,1.4284749816750897,1.4284749816750897,1.4284749816750897,1.4284749816750897
ecfp,IDH1,0.1,1.0,2.999734894510107,,2.999734894510107,2.999734894510107,2.999734894510107,2.999734894510107,2.999734894510107
ecfp,KAT2A,0.1,1.0,2.040722700365845,,2.040722700365845,2.040722700365845,2.040722700365845,2.040722700365845,2.040722700365845
ecfp,MAPK1,0.1,1.0,2.207090876087064,,2.207090876087064,2.207090876087064,2.207090876087064,2.207090876087064,2.207090876087064
ecfp,MTORC1,0.1,1.0,3.332527206771463,,3.332527206771463,3.332527206771463,3.332527206771463,3.332527206771463,3.332527206771463
ecfp,OPRK1,0.1,1.0,1.6666666666666665,,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665
ecfp,PKM2,0.1,1.0,1.0948549163289132,,1.0948549163289132,1.0948549163289132,1.0948549163289132,1.0948549163289132,1.0948549163289132
ecfp,PPARG,0.1,1.0,5.7142857142857135,,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135
ecfp,TP53,0.1,1.0,4.962616822429907,,4.962616822429907,4.962616822429907,4.962616822429907,4.962616822429907,4.962616822429907
ecfp,VDR,0.1,1.0,0.4977263802378219,,0.4977263802378219,0.4977263802378219,0.4977263802378219,0.4977263802378219,0.4977263802378219
mlp,ADRB2,0.1,1.0,0.7499520030718034,,0.7499520030718034,0.7499520030718034,0.7499520030718034,0.7499520030718034,0.7499520030718034
mlp,ALDH1,0.1,1.0,4.869730445223005,,4.869730445223005,4.869730445223005,4.869730445223005,4.869730445223005,4.869730445223005
mlp,ESR1_ago,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
mlp,ESR1_ant,0.1,1.0,4.169200484554816,,4.169200484554816,4.169200484554816,4.169200484554816,4.169200484554816,4.169200484554816
mlp,FEN1,0.1,1.0,6.42340750788181,,6.42340750788181,6.42340750788181,6.42340750788181,6.42340750788181,6.42340750788181
mlp,GBA,0.1,1.0,5.642476177616604,,5.642476177616604,5.642476177616604,5.642476177616604,5.642476177616604,5.642476177616604
mlp,IDH1,0.1,1.0,1.8998320998564011,,1.8998320998564011,1.8998320998564011,1.8998320998564011,1.8998320998564011,1.8998320998564011
mlp,KAT2A,0.1,1.0,2.7549756454938903,,2.7549756454938903,2.7549756454938903,2.7549756454938903,2.7549756454938903,2.7549756454938903
mlp,MAPK1,0.1,1.0,3.6481913892968536,,3.6481913892968536,3.6481913892968536,3.6481913892968536,3.6481913892968536,3.6481913892968536
mlp,MTORC1,0.1,1.0,3.915719467956469,,3.915719467956469,3.915719467956469,3.915719467956469,3.915719467956469,3.915719467956469
mlp,OPRK1,0.1,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
mlp,PKM2,0.1,1.0,6.0435991381356,,6.0435991381356,6.0435991381356,6.0435991381356,6.0435991381356,6.0435991381356
mlp,PPARG,0.1,1.0,6.142857142857142,,6.142857142857142,6.142857142857142,6.142857142857142,6.142857142857142,6.142857142857142
mlp,TP53,0.1,1.0,4.7641121495327114,,4.7641121495327114,4.7641121495327114,4.7641121495327114,4.7641121495327114,4.7641121495327114
mlp,VDR,0.1,1.0,6.017964415602757,,6.017964415602757,6.017964415602757,6.017964415602757,6.017964415602757,6.017964415602757
rf,ADRB2,0.1,1.0,0.24998400102393448,,0.24998400102393448,0.24998400102393448,0.24998400102393448,0.24998400102393448,0.24998400102393448
rf,ALDH1,0.1,1.0,5.545399965063181,,5.545399965063181,5.545399965063181,5.545399965063181,5.545399965063181,5.545399965063181
rf,ESR1_ago,0.1,1.0,2.6647619047619044,,2.6647619047619044,2.6647619047619044,2.6647619047619044,2.6647619047619044,2.6647619047619044
rf,ESR1_ant,0.1,1.0,5.048940036341611,,5.048940036341611,5.048940036341611,5.048940036341611,5.048940036341611,5.048940036341611
rf,FEN1,0.1,1.0,7.4341975218124485,,7.4341975218124485,7.4341975218124485,7.4341975218124485,7.4341975218124485,7.4341975218124485
rf,GBA,0.1,1.0,7.023335326569192,,7.023335326569192,7.023335326569192,7.023335326569192,7.023335326569192,7.023335326569192
rf,IDH1,0.1,1.0,1.999823263006738,,1.999823263006738,1.999823263006738,1.999823263006738,1.999823263006738,1.999823263006738
rf,KAT2A,0.1,1.0,4.061038173728031,,4.061038173728031,4.061038173728031,4.061038173728031,4.061038173728031,4.061038173728031
rf,MAPK1,0.1,1.0,4.284352877110183,,4.284352877110183,4.284352877110183,4.284352877110183,4.284352877110183,4.284352877110183
rf,MTORC1,0.1,1.0,4.623881499395404,,4.623881499395404,4.623881499395404,4.623881499395404,4.623881499395404,4.623881499395404
rf,OPRK1,0.1,1.0,3.5,,3.5,3.5,3.5,3.5,3.5
rf,PKM2,0.1,1.0,6.758904350137158,,6.758904350137158,6.758904350137158,6.758904350137158,6.758904350137158,6.758904350137158
rf,PPARG,0.1,1.0,8.428571428571427,,8.428571428571427,8.428571428571427,8.428571428571427,8.428571428571427,8.428571428571427
rf,TP53,0.1,1.0,6.104018691588786,,6.104018691588786,6.104018691588786,6.104018691588786,6.104018691588786,6.104018691588786
rf,VDR,0.1,1.0,6.769078771234379,,6.769078771234379,6.769078771234379,6.769078771234379,6.769078771234379,6.769078771234379
selfies.atomwise,ADRB2,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,ALDH1,0.1,1.0,1.0210365163563355,,1.0210365163563355,1.0210365163563355,1.0210365163563355,1.0210365163563355,1.0210365163563355
selfies.atomwise,ESR1_ago,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,ESR1_ant,0.1,1.0,0.7649909145972139,,0.7649909145972139,0.7649909145972139,0.7649909145972139,0.7649909145972139,0.7649909145972139
selfies.atomwise,FEN1,0.1,1.0,1.8476806706259012,,1.8476806706259012,1.8476806706259012,1.8476806706259012,1.8476806706259012,1.8476806706259012
selfies.atomwise,GBA,0.1,1.0,0.23807916361251494,,0.23807916361251494,0.23807916361251494,0.23807916361251494,0.23807916361251494,0.23807916361251494
selfies.atomwise,IDH1,0.1,1.0,0.9999116315033693,,0.9999116315033693,0.9999116315033693,0.9999116315033693,0.9999116315033693,0.9999116315033693
selfies.atomwise,KAT2A,0.1,1.0,1.0203613501829225,,1.0203613501829225,1.0203613501829225,1.0203613501829225,1.0203613501829225,1.0203613501829225
selfies.atomwise,MAPK1,0.1,1.0,1.4281176257033945,,1.4281176257033945,1.4281176257033945,1.4281176257033945,1.4281176257033945,1.4281176257033945
selfies.atomwise,MTORC1,0.1,1.0,0.41656590084643275,,0.41656590084643275,0.41656590084643275,0.41656590084643275,0.41656590084643275,0.41656590084643275
selfies.atomwise,OPRK1,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,PKM2,0.1,1.0,1.8977485216367829,,1.8977485216367829,1.8977485216367829,1.8977485216367829,1.8977485216367829,1.8977485216367829
selfies.atomwise,PPARG,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,TP53,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,VDR,0.1,1.0,1.1311963187223226,,1.1311963187223226,1.1311963187223226,1.1311963187223226,1.1311963187223226,1.1311963187223226
smiles-pe.atomwise.0,ADRB2,0.1,1.0,7.499520030718034,,7.499520030718034,7.499520030718034,7.499520030718034,7.499520030718034,7.499520030718034
smiles-pe.atomwise.0,ALDH1,0.1,1.0,0.8424946118568674,,0.8424946118568674,0.8424946118568674,0.8424946118568674,0.8424946118568674,0.8424946118568674
smiles-pe.atomwise.0,ESR1_ago,0.1,1.0,3.330952380952381,,3.330952380952381,3.330952380952381,3.330952380952381,3.330952380952381,3.330952380952381
smiles-pe.atomwise.0,ESR1_ant,0.1,1.0,1.1474863718958208,,1.1474863718958208,1.1474863718958208,1.1474863718958208,1.1474863718958208,1.1474863718958208
smiles-pe.atomwise.0,FEN1,0.1,1.0,0.5434354913605591,,0.5434354913605591,0.5434354913605591,0.5434354913605591,0.5434354913605591,0.5434354913605591
smiles-pe.atomwise.0,GBA,0.1,1.0,1.1903958180625749,,1.1903958180625749,1.1903958180625749,1.1903958180625749,1.1903958180625749,1.1903958180625749
smiles-pe.atomwise.0,IDH1,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.atomwise.0,KAT2A,0.1,1.0,1.2244336202195063,,1.2244336202195063,1.2244336202195063,1.2244336202195063,1.2244336202195063,1.2244336202195063
smiles-pe.atomwise.0,MAPK1,0.1,1.0,0.7789732503836697,,0.7789732503836697,0.7789732503836697,0.7789732503836697,0.7789732503836697,0.7789732503836697
smiles-pe.atomwise.0,MTORC1,0.1,1.0,1.2496977025392986,,1.2496977025392986,1.2496977025392986,1.2496977025392986,1.2496977025392986,1.2496977025392986
smiles-pe.atomwise.0,OPRK1,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.atomwise.0,PKM2,0.1,1.0,0.7299032775526088,,0.7299032775526088,0.7299032775526088,0.7299032775526088,0.7299032775526088,0.7299032775526088
smiles-pe.atomwise.0,PPARG,0.1,1.0,1.4285714285714284,,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284
smiles-pe.atomwise.0,TP53,0.1,1.0,0.4962616822429907,,0.4962616822429907,0.4962616822429907,0.4962616822429907,0.4962616822429907,0.4962616822429907
smiles-pe.atomwise.0,VDR,0.1,1.0,0.9954527604756439,,0.9954527604756439,0.9954527604756439,0.9954527604756439,0.9954527604756439,0.9954527604756439
smiles-pe.bpe.0,ADRB2,0.1,1.0,4.9996800204786895,,4.9996800204786895,4.9996800204786895,4.9996800204786895,4.9996800204786895,4.9996800204786895
smiles-pe.bpe.0,ALDH1,0.1,1.0,0.8313357428256506,,0.8313357428256506,0.8313357428256506,0.8313357428256506,0.8313357428256506,0.8313357428256506
smiles-pe.bpe.0,ESR1_ago,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.bpe.0,ESR1_ant,0.1,1.0,0.7649909145972139,,0.7649909145972139,0.7649909145972139,0.7649909145972139,0.7649909145972139,0.7649909145972139
smiles-pe.bpe.0,FEN1,0.1,1.0,0.3260612948163354,,0.3260612948163354,0.3260612948163354,0.3260612948163354,0.3260612948163354,0.3260612948163354
smiles-pe.bpe.0,GBA,0.1,1.0,0.4761583272250299,,0.4761583272250299,0.4761583272250299,0.4761583272250299,0.4761583272250299,0.4761583272250299
smiles-pe.bpe.0,IDH1,0.1,1.0,0.9999116315033693,,0.9999116315033693,0.9999116315033693,0.9999116315033693,0.9999116315033693,0.9999116315033693
smiles-pe.bpe.0,KAT2A,0.1,1.0,0.4081445400731688,,0.4081445400731688,0.4081445400731688,0.4081445400731688,0.4081445400731688,0.4081445400731688
smiles-pe.bpe.0,MAPK1,0.1,1.0,1.4281176257033945,,1.4281176257033945,1.4281176257033945,1.4281176257033945,1.4281176257033945,1.4281176257033945
smiles-pe.bpe.0,MTORC1,0.1,1.0,0.8331318016928657,,0.8331318016928657,0.8331318016928657,0.8331318016928657,0.8331318016928657,0.8331318016928657
smiles-pe.bpe.0,OPRK1,0.1,1.0,3.333333333333333,,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333
smiles-pe.bpe.0,PKM2,0.1,1.0,0.8758839330631305,,0.8758839330631305,0.8758839330631305,0.8758839330631305,0.8758839330631305,0.8758839330631305
smiles-pe.bpe.0,PPARG,0.1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.bpe.0,TP53,0.1,1.0,2.977570093457944,,2.977570093457944,2.977570093457944,2.977570093457944,2.977570093457944,2.977570093457944
smiles-pe.bpe.0,VDR,0.1,1.0,0.4072306747400362,,0.4072306747400362,0.4072306747400362,0.4072306747400362,0.4072306747400362,0.4072306747400362
